Posição 1,Posição 2,Posição 3,Posição 4,Posição 5,Posição 6,Posição 7,Posição 8,Posição 9,Posição 10,Posição 11,Posição 12,Posição 13,Posição 14,Posição 15,Posição 16,Posição 17,Posição 18,Posição 19,Posição 20,Posição 21,Posição 22,Posição 23,Posição 24,Posição 25,Posição 26,Posição 27,Posição 28,Posição 29,Posição 30,Posição 31,Posição 32,Posição 33,Posição 34,Posição 35,Posição 36,Posição 37,Posição 38,Posição 39,Posição 40,Posição 41,Posição 42,Melhor jogada,Probabilidade de vitória (%)
,,,,,,,,,,,,,,,,,,X,,,,,O,,O,,,,,X,O,X,,,,O,X,X,X,O,,3,13.057461406518009
,,,,,,,,,,,,,,,,,,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,3,74.93060374739764
,,,,,,,,,,,,,,,,,X,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,3,19.862728785357735
,,,,,,,,,,O,,,,,,,X,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,3,71.88385269121812
,,,X,,,,,,,O,,,,,,,X,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,2,9.813941299790356
,,,X,,,,,,,O,,,,,,O,X,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,2,77.9307116104869
,,,X,,,,,,X,O,,,,,,O,X,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,4,9.13987990109502
,,,X,,,,,,X,O,O,,,,,O,X,X,,,,,O,O,O,,,,,X,O,X,,,,O,X,X,X,O,,0,75.82827406764962
,,,X,,,,,,X,O,O,,,,,O,X,X,,,,,O,O,O,,,,,X,O,X,,,X,O,X,X,X,O,,1,9.493569131832798
,,,X,,,,,,X,O,O,,,,,O,X,X,,,,,O,O,O,,,,O,X,O,X,,,X,O,X,X,X,O,,1,81.18156934306569
,,,X,,,,,,X,O,O,,,,,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,X,O,X,X,X,O,,1,16.140284119736176
,,,X,,,,,,X,O,O,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,X,O,X,X,X,O,,4,73.54208416833667
,,,X,X,,,,,X,O,O,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,X,O,X,X,X,O,,1,25.730049041462326
,,,X,X,,,,O,X,O,O,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,X,O,X,X,X,O,,2,75.68998879722986
,,X,X,X,,,,O,X,O,O,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,X,O,X,X,X,O,,1,6.338889738492124
,O,X,X,X,,,,O,X,O,O,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,X,O,X,X,X,O,,6,93.49120525631373
,O,X,X,X,,,,O,X,O,O,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,X,O,X,X,X,O,X,0,2.4069910057236306
,O,X,X,X,,,,O,X,O,O,,,,O,O,X,X,,,,X,O,O,O,,,O,O,X,O,X,,,X,O,X,X,X,O,X,6,98.17792068595928
,O,X,X,X,,,,O,X,O,O,,,,O,O,X,X,,,,X,O,O,O,,,O,O,X,O,X,,X,X,O,X,X,X,O,X,5,1.1663085894681458
,O,X,X,X,,,,O,X,O,O,,,,O,O,X,X,,,,X,O,O,O,,,O,O,X,O,X,O,X,X,O,X,X,X,O,X,5,99.01378826828699
,O,X,X,X,,,,O,X,O,O,,,,O,O,X,X,,,,X,O,O,O,X,,O,O,X,O,X,O,X,X,O,X,X,X,O,X,5,0.9725446249899943
,O,X,X,X,,,,O,X,O,O,,,,O,O,X,X,O,,,X,O,O,O,X,,O,O,X,O,X,O,X,X,O,X,X,X,O,X,6,99.1746680286006
,O,X,X,X,,,,O,X,O,O,,,,O,O,X,X,O,,,X,O,O,O,X,X,O,O,X,O,X,O,X,X,O,X,X,X,O,X,6,0.46624308634639117
,O,X,X,X,,,,O,X,O,O,,,,O,O,X,X,O,O,,X,O,O,O,X,X,O,O,X,O,X,O,X,X,O,X,X,X,O,X,6,99.71415810629746
,O,X,X,X,,,,O,X,O,O,,X,,O,O,X,X,O,O,,X,O,O,O,X,X,O,O,X,O,X,O,X,X,O,X,X,X,O,X,6,0.2987421383647799
,O,X,X,X,,O,,O,X,O,O,,X,,O,O,X,X,O,O,,X,O,O,O,X,X,O,O,X,O,X,O,X,X,O,X,X,X,O,X,5,99.85452782155413
,O,X,X,X,,O,,O,X,O,O,X,X,,O,O,X,X,O,O,,X,O,O,O,X,X,O,O,X,O,X,O,X,X,O,X,X,X,O,X,5,0.06893936782599704
